command_name,invocation,classification
awk,"awk ""!/^[[:space:]]*$ {++i} END{print i}""",unclassified
awk,"awk ""/inet /{ print $2 }""",unclassified
awk,"awk ""/^\s*[a-z]+/ { print $1 }""",unclassified
awk,"awk ""/^\s+[a-z]+/ { print $1 }""",unclassified
awk,"awk ""/[a-zA-Z0-9]/ {i++} END{print i}""",unclassified
cut,"cut -d"" "" -f 2",supported
cut,"cut -d "" "" -f 2",supported
cut,"cut -f 1 -d "" """,supported
cut,"cut -f 3 -d "" """,supported
cut,cut -f 2 ./Gene_locs.txt,supported
cut,cut -f3- >${OUT},supported
cut,"cut -d "","" -f 1,3",supported
cut,"cut -d "","" -f 1",supported
cut,"cut -d "","" -f 3,1",supported
cut,"cut -d "","" -f 2",supported
cut,"cut -d "","" -f 1,2,4",supported
cut,"cut -d "","" -f 3",supported
cut,"cut -d "","" -f 1,2",supported
cut,"cut -d ""\"""" -f3",supported
cut,"cut -d "" "" -f2",supported
cut,cut -c 89-92,supported
cut,"cut -d "" "" -f 1",supported
cut,"cut -d"" "" -f5-",supported
cut,cut -f1,supported
cut,"cut -d"":"" -f1",supported
cut,cut -f1-6 >rRNA.bed,supported
cut,cut -f1-2,supported
cut,"cut -d ""."" -f 2",supported
cut,cut -c 1-1,supported
cut,"cut -d ""\"""" -f 2",supported
cut,cut -c 1-12,supported
cut,cut -f 1,supported
cut,cut -f 2,supported
cut,cut -f 4,supported
cut,cut -c 3-3,supported
cut,"cut -d ""("" -f 2",supported
cut,"cut -d "")"" -f 1",supported
cut,cut -c 1-4,supported
cut,cut -c 1-2,supported
cut,"cut -d "" "" -f 4",supported
cut,"cut -d"":"" -f2",supported
cut,"cut -d"" "" -f2-",supported
cut,cut -d/ -f1,supported
cut,"cut -d, -f-5",supported
cut,"cut -d"","" -f1-5",supported
cut,cut -f2,supported
cut,cut -b8-,supported
cut,"cut -d""/"" -f3",supported
cut,cut -d: -f1,supported
cut,cut -c 4-,supported
cut,"cut -d"" "" -f1",supported
cut,cut -d: -f1 /etc/group,supported
cut,"cut -d "":"" -f 2-",supported
cut,cut -d : -f 2,supported
cut,"cut -d ""["" -f 2",supported
cut,"cut -d "" "" -f 3",supported
cut,"cut -d""@"" -f1",supported
cut,cut -d: -f2,supported
cut,"cut -f2 -d "",""",supported
cut,"cut -d "" "" -f 2 >.mix_tasks",supported
cut,cut -c-12,supported
cut,cut -f3,supported
cut,cut -f1 /etc/group,supported
cut,"cut -d"","" -f10",supported
cut,"cut -d"" "" -f5",supported
cut,"cut -d: -f1,7",supported
cut,"cut -d"" "" -f9",supported
cut,"cut -d"" "" -f2",supported
cut,"cut -d""."" -f1",supported
cut,"cut -d""_"" -f1",supported
cut,"cut -d"","" -f1,2",supported
cut,"cut -d"","" -f9",supported
cut,"cut -d"","" -f5",supported
cut,"cut -d""/"" -f2",supported
cut,"cut -d""|"" -f1",supported
cut,"cut -d: -f1,6",supported
cut,"cut -d""/"" -f1",supported
cut,"cut -d"" "" -f5,9",supported
cut,"cut -d: -f1,3",supported
cut,"cut -d: -f1,3,7",supported
cut,cut -c1-5,supported
cut,"cut -f3 -d "",""",supported
cut,"cut -d "" "" -f 2 >.rake_tasks",supported
fmt,fmt -w1,unclassified
grep,grep -c 1,unsupported
grep,"grep ""^SN""",supported
grep,"grep -v ""\""\""""",supported
grep,grep Version,supported
grep,"grep -Ev ""(com|net|org|gov|mil|arpa)"" 2>/dev/null",supported
grep,"egrep -i ""POST /|GET /|Host:"" 2>/dev/null",supported
grep,"egrep -i ""POST /|pwd=|passwd=|password=|Host:"" 2>/dev/null",supported
grep,grep -v 999,supported
grep,"grep -v ""^\s*$""",supported
grep,"grep -c ""^....$"" >${OUT}/${input}.out0",unsupported
grep,"grep -c ""^....$"" >${OUT}/${input}.out1",unsupported
grep,"grep -i ""^[^aeiou]*[aeiou][^aeiou]*$""",supported
grep,"grep -i ""^[^aeiou]*[aeiou][^aeiou]*[aeiou][^aeiou]$""",supported
grep,"grep ""the land of""",supported
grep,"grep ""And he said""",supported
grep,"grep -c ""^[A-Z]"" >${OUT}/${input}.out",unsupported
grep,"grep -c ""light.\*light"" >${OUT}/${input}.out0",unsupported
grep,"grep -c ""light.\*light.\*light"" >${OUT}/${input}.out1",unsupported
grep,"grep ""light.\*light""",supported
grep,"grep -vc ""light.\*light.\*light"" >${OUT}/${input}.out2",unsupported
grep,"grep -vi ""[aeiou]""",supported
grep,"grep ""\(.\).*\1\(.\).*\2\(.\).*\3\(.\).*\4""",supported
grep,grep -v lua_,supported
grep,"grep -v ""Finished "" ""${g}""",supported
grep,"grep -v -P ""\tENST"" >>""${sdir}""/align/reads.1.sanitize.toRibosomal.sorted.sam",supported
grep,"grep -v ""SA:Z:""",supported
grep,"grep -nP ""^CREATE TABLE transcr""",supported
grep,"grep -nP ""^CREATE INDEX transcr""",supported
grep,"grep -P ""^INSERT"" ${sdir}/db/${i}.sqlite.transcr.sql",supported
grep,"grep -nP ""^CREATE TABLE genome""",supported
grep,"grep -nP ""^CREATE INDEX genome""",supported
grep,"grep -P ""^INSERT"" ${sdir}/db/${i}.sqlite.genome.sql",supported
grep,"grep -P ""^INSERT"" ""${sdir}""/db/""${i}"".sqlite.transcr.sql",supported
grep,"grep -P ""^INSERT"" ""${sdir}""/db/""${i}"".sqlite.genome.sql",supported
grep,"grep ""^-.*\\|^+.*""",supported
grep,"grep -v ""CONDA_BACKUP_""",supported
grep,"grep -A 1 --no-group-separator ""Homo sapiens"" ribosomal.fa",unsupported
grep,"grep -A 1 --no-group-separator ""Mus musculus"" ribosomal.fa",unsupported
grep,"grep -v "" \""rRNA\"";"" >ensembl_genes.gtf.tmp",supported
grep,"grep -v ""^#"" ensembl_genes.gtf.tmp2",supported
grep,"grep ""transcript_biotype \""protein_coding\"""" >ensembl_transcripts_protein_coding.gtf",supported
grep,"grep -P ""\ttranscript\t|\texon\t"" >SIRV_Set1_Sequences_170612a/SIRVome_isoforms_C_170612a.gtf.tmp",supported
grep,grep -w -i sirv transcripts_sirv1.fa.fai,supported
grep,"grep -v -P ""\tENSMUST""",supported
grep,"grep -v -P ""\tSIRV"" >>""${sdir}""/align/reads.1.sanitize.toRibosomal.sorted.sam",supported
grep,"grep ""x""",supported
grep,"grep ""\.""",supported
grep,"grep ""[KQRBN]""",supported
grep,"grep ""print""",unclassified
grep,"grep ""AT&T""",supported
grep,grep 1969,supported
grep,"grep ""Bell""",supported
grep,"grep ""(""",supported
grep,"grep ""[A-Z]""",supported
grep,"grep ""\""""",supported
grep,"grep ""UNIX""",supported
grep,"grep -v ""[KQRBN]""",supported
grep,"grep ""EndpointIP\\|VIP""",supported
grep,"grep -m 1 "".""",unsupported
grep,"grep ""[aeiouyAEIOUY]""",supported
grep,"grep -i ""[aeiouy]""",supported
grep,"grep -oE ""([0-9]{1,3}\.){3}[0-9]{1,3}"" /etc/networks",supported
grep,"grep -rl ""Hello"" /testbed",unsupported
grep,"grep ""total""",supported
grep,"grep ""^-""",supported
grep,"grep -r ""foo"" /system",unsupported
grep,"grep ""special""",supported
grep,"grep -q ""screen""",unsupported
grep,grep /,supported
grep,grep $(hostname),supported
grep,"grep ""$(hostname)"" /etc/hosts",supported
grep,"grep -E ""^[a-z]{3,6}$""",supported
grep,grep ^[\>\<],supported
grep,"grep ""^>""",supported
grep,grep -v ^@,supported
grep,"grep -v ""^@""",supported
grep,"grep -v ""^[[:space:]]*$"" /workspace/dir1/a.txt",supported
grep,"grep -o ""#[0-9]\+""",supported
grep,grep -n .,supported
grep,grep p,supported
grep,"egrep ""p""",supported
grep,"grep -E ""^[0-9.]+$""",supported
grep,"grep -m 1 ""^[0-9]""",unsupported
grep,"grep ""^[^=]*H[^=]*=""",supported
grep,grep -v /subdir1/,supported
grep,grep -v src,supported
grep,grep -v nvm.sh,supported
grep,"grep -n ""^ *server *""",supported
grep,grep -v server_name,supported
grep,"grep -n ""^ *server *"" >/dev/null",supported
grep,"grep ""^ *include +.*;"" >/dev/null",supported
grep,"grep ""^ *include +.*;""",supported
grep,"grep -i ""^Location.*$""",supported
grep,"grep -i ""^Retry-After *:""",supported
grep,"grep ""^ *include *.*;"" >/dev/null",supported
grep,"grep ""^ *include *.*;""",supported
grep,"_egrep_o ""\""authorizations\"" *: *\[[^\[]*\]""",supported
grep,"grep ""^Location:""",supported
grep,"grep ""${LOCAL_ANY_ADDRESS}:${_checkport}""",supported
grep,grep SunOS >/dev/null,supported
grep,"grep -i ""^Retry-After *: *[0-9]\+ *""",supported
grep,"_egrep_o ""^ *Public.Key:.*""",supported
grep,grep default,supported
grep,"grep -q ""^. main\s*$""",unsupported
grep,"grep ""${IPv4bare}/""",supported
grep,grep --color=never -i Location:,supported
grep,"grep -qv ""^-P.*ACCEPT$""",unsupported
grep,"grep -v ""state DOWN\\|lo""",supported
grep,"grep ""^set-cookie:"" ""${HTTP_HEADER}""",supported
grep,"_egrep_o ""sessionid=[^;]*;""",supported
grep,"grep -E ""^\?\?"" 2>/dev/null",supported
grep,"grep ""Manufacturer:""",supported
grep,"grep ""^## [^ ]\+ .*ahead""",supported
grep,"grep ""^## [^ ]\+ .*behind""",supported
grep,"grep ""^## [^ ]\+ .*diverged""",supported
grep,"grep ""^ D """,supported
grep,"grep -E ""^\?\? """,supported
grep,"grep -v ""^ *\.""",supported
grep,"grep -e ""^v""",supported
grep,"grep -Po ""(?<=dev )(\S+)""",supported
grep,"grep -qE ""REJECT|DROP""",unsupported
grep,"grep ""inet addr:""",supported
grep,grep -v inet6,supported
grep,"grep -vE ""127\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}""",supported
grep,"grep -E ""inet """,supported
grep,"command grep -v ""rate information unavailable""",supported
grep,"command grep -E ""^Battery.*(Disc|C)harging""",supported
grep,"grep -q -c ""\-\-wip\-\-""",unsupported
grep,"grep -v ""iex -S""",supported
grep,grep branch:,supported
grep,grep parent:,supported
grep,"grep -oE ""[0-9A-Fa-f]+"" a.txt",supported
grep,grep grep,supported
grep,"grep -oE ""[0-9a-f]+"" a.txt",supported
grep,"grep -vwE ""0""",supported
grep,"grep -oE ""[0-9a-f]+""",supported
grep,grep .,supported
grep,"grep -oE ""([0-9]{1,3}\.){3}[0-9]{1,3}""",supported
grep,"grep ""#[0-9]\+""",supported
grep,grep -oE /etc/networks,supported
grep,"grep ""active""",supported
grep,"grep ""\.txt""",supported
grep,"grep ""^[^.]""",supported
grep,"grep ""a""",supported
grep,"grep -v ""a""",supported
grep,"grep ""pattern""",supported
grep,grep [02468],supported
grep,"grep ""^/""",supported
grep,grep -v [13579],supported
grep,"grep ""\.log$""",supported
grep,"grep ""[a-z]""",supported
grep,"grep ""^[0-9]""",supported
grep,"grep ""[0-9]""",supported
grep,"grep ""WARNING""",supported
grep,"grep ""^(""",supported
grep,"grep -v ""^$""",supported
grep,"grep ""[k-z]""",supported
grep,"grep ""^[A-Z]""",supported
grep,"grep -v ""^#""",supported
grep,"grep -v ""[0-9]""",supported
grep,"grep ""foo""",supported
grep,"grep -v ""^\\.""",supported
grep,"grep ""[A-J]""",supported
grep,"grep -v ""txt""",supported
grep,"grep ""txt""",supported
grep,"grep ""[a-j]""",supported
grep,"grep "":""",supported
grep,"grep "".""",supported
grep,"grep -v "".""",supported
grep,"grep ""x:""",supported
grep,"grep ""pattern"" file.txt",supported
grep,"grep ""/""",supported
grep,"grep -v ""^[[:space:]]*$""",supported
grep,grep [0-9],supported
grep,"grep "".txt""",supported
grep,"grep -v ""^[0-9]*5$""",supported
grep,"grep ""^[0-9]*[02468]$""",supported
grep,"grep ""[13579]$""",supported
grep,"grep ""\.txt$""",supported
grep,"grep -v ""txt$""",supported
grep,"grep -v ""^[0-9]*0$""",supported
grep,"grep "".sh""",supported
grep,"grep "".*\.txt""",supported
grep,"grep ""*""",supported
grep,"grep ""^[a-z]""",supported
grep,"grep ""([0-9])""",supported
grep,"grep -v ""^\.""",supported
grep,grep celery,supported
grep,grep -v grep,supported
grep,"egrep -wi ""exception|critical"" /var/log/cloudera-scm-server/cloudera- scm-server.log",supported
grep,"grep ""/dev/sdb""",supported
grep,"grep -v ""word2"" ${list}",supported
grep,"grep -rHn ""word1"" ${list}",unsupported
grep,"grep -n ""^ *server *{""",supported
grep,"grep -n ""^ *server *{"" >/dev/null",supported
grep,"grep ""^ *include *;"" >/dev/null",supported
grep,"grep ""^ *include *;""",supported
grep,"_egrep_o ""\""authorizations\"" *: *\[[^\[]]*\]""",supported
grep,"grep ""${LOCAL_ANY_ADDRESS}""",supported
grep,grep solaris >/dev/null,supported
grep,"_egrep_o ""^ *Public-Key:.*""",supported
grep,"grep -q ""\smain\s""",unsupported
grep,"grep ""${IPv4bare}""",supported
grep,grep --color=never -i Location,supported
grep,"grep -qv ""ACCEPT$""",unsupported
grep,"grep ""state UP""",supported
grep,"grep ""^Set-Cookie:"" ""${HTTP_HEADER}""",supported
grep,"grep -E ""^??"" 2>/dev/null",supported
grep,"grep ""Manufacturer""",supported
grep,"grep ""^## .*ahead""",supported
grep,"grep ""^## .*behind""",supported
grep,"grep ""^## .*diverged""",supported
grep,"grep ""^D """,supported
grep,"grep ""^\?\? """,supported
grep,grep -q REJECT,unsupported
grep,"grep -q -c ""--wip--""",unclassified
grep,grep branch,supported
grep,grep parent,supported
grep,grep powerpc >/dev/null,supported
grep,"grep ""shell script""",supported
grep,"grep -v ""^0$""",supported
grep,grep -rl . /testbed/dir2,unsupported
paste,paste ${TEMPDIR}/${input}.input.words ${TEMPDIR}/${input}.input.nextwords,unclassified
paste,paste ${TEMPDIR}/${input}.words ${TEMPDIR}/${input}.nextwords ${TEMPDIR}/${input}.nextwords2,unclassified
paste,paste ${TEMPDIR}/${input}.syl ${TEMPDIR}/${input}.words,unclassified
paste,paste ${s2} -,unclassified
paste,paste ${aux3} - >${OUT},unclassified
paste,paste - - - -,unclassified
paste,paste s3 -,unclassified
paste,paste ${s3} -,unclassified
paste,paste -sd:,unclassified
paste,paste,unclassified
sed,"sed -e ""s/SN:\([0-9XY]\)/SN:chr\1/"" -e ""s/SN:MT/SN:chrM/""",supported
sed,"sed -e ""s/^ //"" -e ""s/ \$//""",supported
sed,"sed ""s/T..:..:..//""",supported
sed,"sed ""s/T\(..\):..:../,\1/""",supported
sed,"sed ""s/T\(..\):..:../,\1/"" <in.csv",supported
sed,"sed ""s;^;${URL};""",supported
sed,"sed ""s/ly\$/-ly/g""",supported
sed,"sed ""s/ .*//g""",supported
sed,sed 5q,unsupported
sed,sed 5q >${OUT}/${input}.out,unsupported
sed,sed 5q >${OUT}${input}.out,unsupported
sed,sed 5q >${OUT}/${input}.0.out,unsupported
sed,sed 5q >${OUT}/${input}.1.out,unsupported
sed,"sed ""$d""",unsupported
sed,sed 100q,unsupported
sed,"sed -n ""s/.*version \(.*\)/\1/p""",supported
sed,"sed ""s/\\(/\(/g""",unclassified
sed,"sed -e ""s/[\\\""]/\\&/g"" -e ""s/\\\""/\""/"" -e ""s/\\\"";\$/\"";/"" -e ""s/  */ /g"" >>auto/pathdef.c",supported
sed,"sed ""s/INSERT INTO transcr VALUES(/INSERT INTO transcr VALUES(${add_num}/g"" \  >>${sdir}/db/sqlite.transcr.sql",unclassified
sed,"sed ""s/INSERT INTO genome VALUES(/INSERT INTO genome VALUES(${add_num}/g"" \  >>${sdir}/db/sqlite.genome.sql",unclassified
sed,"sed ""s/INSERT INTO transcr VALUES(/INSERT INTO transcr VALUES(${add_num}/g"" >>""${sdir}""/db/sqlite.transcr.sql",unclassified
sed,"sed ""s/INSERT INTO genome VALUES(/INSERT INTO genome VALUES(${add_num}/g"" >>""${sdir}""/db/sqlite.genome.sql",unclassified
sed,"sed ""s,^[^\,]*\,\\(.*\\),\1,""",unclassified
sed,"sed ""s,^\\([^\,]*\\)\,.*,\1,""",unclassified
sed,"sed ""/^[^>]/ y/uU/tT/"" >ribosomal.fa",supported
sed,"sed ""s/\tcDNA_match\t/\texon\t/g""",supported
sed,"sed ""s/\tgenome\t/\tsilva\t/g"" >ribosomal.hsa.gmap.gff3",supported
sed,"sed ""s/\tgmapidx\t/\tsilva\t/g""",supported
sed,"sed ""s/;\$/; gene_biotype \""rRNA\""; transcript_biotype \""rRNA\"";/g""",supported
sed,"sed ""s/^chrM/MT/g""",supported
sed,"sed ""s/^chr//g""",supported
sed,"sed ""s/chr1_KI270713v1_random/KI270713.1/g""",supported
sed,"sed ""s/14_GL000009v2_random/GL000009.2/g""",supported
sed,"sed ""s/1_KI270706v1_random/KI270706.1/g""",supported
sed,"sed ""s/Un_KI270742v1/KI270742.1/g""",supported
sed,"sed ""1i transcript_id\tlength"" >SIRV_Set1_Sequences_170612a/SIRVome_isoforms_170612a.transcripts_sirv1.E2.length.tab",unsupported
sed,"sed ""s/\tgenome\t/\tsilva\t/g"" >ribosomal.mmu.gmap.gff3",supported
sed,"sed ""1i transcript_id\tlength"" >sirv1.length.tab",unsupported
sed,"sed s/\$/""0s""/",supported
sed,sed 4d,supported
sed,sed 1d,supported
sed,sed 3d,supported
sed,sed 2d,supported
sed,sed 5d,supported
sed,"sed -e ""/.\$/a\""",supported
sed,"sed ""s#^#${WIKI}#""",supported
sed,"sed ""\$d""",unsupported
sed,"sed ""s|./wikipedia/en/articles/||""",supported
sed,"sed ""s;^;http://data\.com/chunk/;""",supported
sed,"sed ""s/\$/\/abc.txt/g""",unsupported
sed,"sed -e ""s@^.*/@@""",supported
sed,"sed -e ""s/.*\.//""",supported
sed,"sed -e ""s/.*\///""",supported
sed,"sed -e ""s;[^/]*/;|___;g;s;___|; |;g""",supported
sed,"sed ""s/\r\$//""",supported
sed,"sed -e ""s/(.*)//"" -e ""s/[^0-9]/ /g""",supported
sed,"sed ""s/([^)]*)//g""",supported
sed,"sed -n ""s/.*\.//p""",supported
sed,"sed ""s@^@/usr/@""",supported
sed,"sed -E ""s|https?://([^/]+).*|\1|""",supported
sed,"sed ""s/;/\\;/g""",supported
sed,"sed ""s/[^0-9;]//g""",supported
sed,"sed -e ""s/^[ \t]*//""",supported
sed,"sed -e ""s/[ \t]*\$//""",supported
sed,"sed ""s/^[ \t]*//;s/[ \t]*\$//""",supported
sed,"sed ""s/...\$//""",supported
sed,"sed ""s/,/' '/g""",supported
sed,"sed ""s/include //""",supported
sed,sed -h 2>&1,unclassified
sed,"sed ""s/^\.*//""",supported
sed,"sed ""s/[]\.|$(){}?+*^]/\\&/g""",supported
sed,"sed ""s/\//\\\//g""",supported
sed,"sed -e ""s/^\s*#.*\$//"" -e ""/^\$/d""",supported
sed,"sed ""/ master /d;/UP/!d;s/^[0-9]*: //g;s/@.*//g;s/: <.*//g;""",supported
sed,"sed ""s/ /\\ /g;s/&/\\&/;s/^/pushd -q /;1!G;h;\$!d;"" >~/.zdirstore",supported
sed,"sed ""s/addr://g""",supported
sed,"sed ""1,/Available commands/d""",unsupported
sed,"sed ""s/\[.*\]//g"" >.rake_tasks",supported
sed,"sed -E \ -e ""s/\\([0-9, \.]+( .+)?\\)/${fg}[blue]&${reset_color}/g"" \ -e ""s|$(echo ${rvm_path})|${fg}[magenta]\$rvm_path${reset_color}|g"" \ -e ""s/${current_ruby}@global/${fg}[yellow]&${reset_color}/g"" \ -e ""s/${current_ruby}${current_gemset}\$/${fg}[green]&${reset_color}/g""",unsupported
sed,"sed -n ""s/URL:\ .*${SVN_ROOT}\///p""",unclassified
sed,"sed -ne ""s|^.* inet \([^/]*\)/.* scope global.*$|\1|p""",supported
sed,"sed ""s;^;;""",supported
sed,"sed ""s/,/, /g""",supported
sed,"sed ""s/[0-9]*/&&/""",supported
sed,"sed ""s/:/ /g""",supported
sed,"sed ""s/^ *//""",supported
sed,"sed ""s/localhost/127.0.0.1/""",supported
sed,"sed ""s/127.0.0.1/localhost/""",supported
sed,"sed ""s/0x[0-9a-f]*/\n&\n/g""",supported
sed,"sed ""s/,/\n/g""",supported
sed,"sed ""s/^/Line /""",supported
sed,"sed ""s/[0-9]/(&)/g""",supported
sed,"sed ""s/ERROR/error/g""",supported
sed,"sed ""s/error/WARNING/g""",supported
sed,"sed ""s/[0-9]/#/g""",supported
sed,"sed ""s/#/*/g""",supported
sed,"sed ""s/^[ ]*//""",supported
sed,"sed ""d""",supported
sed,"sed ""s/\$//""",supported
sed,"sed ""s/ /\n/g""",supported
sed,"sed ""s/foo/bar/g""",supported
sed,"sed ""s/[0-9]//g""",supported
sed,"sed ""s/_txt\$//""",supported
sed,"sed ""s/[0-9]/X/g""",supported
sed,"sed ""s/X/#/g""",supported
sed,"sed ""s/,\$/\n/""",supported
sed,"sed ""s/\./X/g""",supported
sed,"sed ""s/X/Y/g""",supported
sed,"sed ""s/:[^:]*\$//g""",supported
sed,"sed ""s/\///g""",supported
sed,"sed ""s/ \+/ /g""",supported
sed,"sed ""s/\n//g""",supported
sed,"sed ""s/^/File: /""",supported
sed,"sed ""s/^/Sizes: /""",supported
sed,"sed ""s/\$/XX/""",supported
sed,"sed ""s/error/ERROR/g""",supported
sed,"sed ""s/.*ERROR://g""",supported
sed,"sed ""s/[0-9]/&,/g""",supported
sed,"sed ""s/[aeiou]/*/g""",supported
sed,"sed ""/^\$/d""",supported
sed,"sed ""s/[0-9]/& /g""",supported
sed,"sed ""s/^/Line: /""",supported
sed,"sed ""s/ HELLO.*'[^']*'/ /""",supported
sed,"sed -r ""s/[^ ]* //""",supported
sed,"sed ""s/\""//g""",supported
sed,"sed ""s/^\.//""",supported
sed,"sed -e ""s/#.*\$//"" -e ""/^\$/d""",supported
sed,"sed ""/ master /d;/UP/!d;s/^[0-9]*: //g;s/: <.*//g;""",supported
sed,"sed ""s/ /\\ /g;s/^/pushd -q /;1!G;h;\$!d;"" >~/.zdirstore",supported
sed,"sed \ -Ee ""s/\\([0-9, \.]+( .+)?\\)/${fg}[blue]&${reset_color}/g"" \ -Ee ""s|$(echo ${rvm_path})|${fg}[magenta]\$rvm_path${reset_color}|g"" \ -Ee ""s/${current_ruby}@global/${fg}[yellow]&${reset_color}/g"" \ -Ee ""s/${current_ruby}${current_gemset}\$/${fg}[green]&${reset_color}/g""",unsupported
sed,"sed ""s/\/.*\$//""",supported
tr,"tr "";"" ""\n""",supported
tr,"tr -c ""A-Za-z"" ""[\n*]""",supported
tr,"tr -sc ""[A-Z][a-z]"" ""[\012*]""",supported
tr,"tr ""[a-z]"" ""[A-Z]""",supported
tr,"tr -sc ""BCDFGHJKLMNPQRSTVWXYZ"" ""[\012*]""",supported
tr,"tr ""a-z"" ""[A-Z]""",supported
tr,"tr -sc ""AEIOU"" ""[\012*]""",supported
tr,"tr -sc ""[AEIOUaeiou\012]"" "" "" <${TEMPDIR}/${input}.words",supported
tr,"tr -sc ""AEIOUaeiou"" ""[\012*]""",supported
tr,tr A-Z a-z,supported
tr,tr [:lower:] [:upper:],supported
tr,tr [:upper:] [:lower:],supported
tr,"tr -cs A-Za-z ""\n""",supported
tr,"tr -d ""[:punct:]""",supported
tr,"tr -d ""\012"" >>auto/pathdef.c",supported
tr,"tr ""a-z+-."" ""A-ZX__""",supported
tr,"tr ""a-z+-"" ""A-ZX_""",supported
tr,"tr "" "" ""\n""",supported
tr,"tr ""[a-z]"" ""P""",supported
tr,"tr -s "" "" ""\n""",supported
tr,"tr -c ""[a-z][A-Z]"" ""\n""",supported
tr,"tr ""[a-z]"" ""\n""",supported
tr,"tr -d ""\n""",supported
tr,"tr -c ""[A-Z]"" ""\n""",supported
tr,"tr ""[A-Z]"" ""[a-z]""",supported
tr,"tr -d "",""",supported
tr,"tr -d ""\n\r""",supported
tr,"tr -c ""0-9"" "" """,supported
