command_name,invocation,pattern,ast_repr,is_pure_string,has_references
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -i ""^[^aeiou]*[aeiou][^aeiou]*$""",^[^aeiou]*[aeiou][^aeiou]*$,"Concatenate([StartAnchor(), Repeat(CharacterClass(negate=True, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), 0, None), CharacterClass(negate=False, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), Repeat(CharacterClass(negate=True, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -i ""^[^aeiou]*[aeiou][^aeiou]*[aeiou][^aeiou]$""",^[^aeiou]*[aeiou][^aeiou]*[aeiou][^aeiou]$,"Concatenate([StartAnchor(), Repeat(CharacterClass(negate=True, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), 0, None), CharacterClass(negate=False, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), Repeat(CharacterClass(negate=True, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), 0, None), CharacterClass(negate=False, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), CharacterClass(negate=True, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')]), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -c ""^[A-Z]"" >${OUT}/${input}.out",^[A-Z],"Concatenate([StartAnchor(), CharacterClass(negate=False, items=[Range('A'-'Z')])])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -c ""^[A-Z]"" >${OUT}/${input}.out",^[A-Z],"Concatenate([StartAnchor(), CharacterClass(negate=False, items=[Range('A'-'Z')])])",False,False
grep,"grep -c ""light.\*light"" >${OUT}/${input}.out0",light.\*light,"Concatenate([Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t'), Dot(), Literal('*'), Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t')])",False,False
grep,"grep -c ""light.\*light.\*light"" >${OUT}/${input}.out1",light.\*light.\*light,"Concatenate([Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t'), Dot(), Literal('*'), Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t'), Dot(), Literal('*'), Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t')])",False,False
grep,"grep ""light.\*light""",light.\*light,"Concatenate([Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t'), Dot(), Literal('*'), Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t')])",False,False
grep,"grep -vc ""light.\*light.\*light"" >${OUT}/${input}.out2",light.\*light.\*light,"Concatenate([Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t'), Dot(), Literal('*'), Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t'), Dot(), Literal('*'), Literal('l'), Literal('i'), Literal('g'), Literal('h'), Literal('t')])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -vi ""[aeiou]""",[aeiou],"CharacterClass(negate=False, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u')])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep ""\(.\).*\1\(.\).*\2\(.\).*\3\(.\).*\4""",\(.\).*\1\(.\).*\2\(.\).*\3\(.\).*\4,"Concatenate([Dot(), Repeat(Dot(), 0, None), Literal('1'), Dot(), Repeat(Dot(), 0, None), Literal('2'), Dot(), Repeat(Dot(), 0, None), Literal('3'), Dot(), Repeat(Dot(), 0, None), Literal('4')])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -nP ""^CREATE TABLE transcr""",^CREATE TABLE transcr,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('T'), Literal('A'), Literal('B'), Literal('L'), Literal('E'), Literal(' '), Literal('t'), Literal('r'), Literal('a'), Literal('n'), Literal('s'), Literal('c'), Literal('r')])",False,False
grep,"grep -nP ""^CREATE INDEX transcr""",^CREATE INDEX transcr,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('I'), Literal('N'), Literal('D'), Literal('E'), Literal('X'), Literal(' '), Literal('t'), Literal('r'), Literal('a'), Literal('n'), Literal('s'), Literal('c'), Literal('r')])",False,False
grep,"grep -P ""^INSERT"" ${sdir}/db/${i}.sqlite.transcr.sql",^INSERT,"Concatenate([StartAnchor(), Literal('I'), Literal('N'), Literal('S'), Literal('E'), Literal('R'), Literal('T')])",False,False
grep,"grep -nP ""^CREATE TABLE genome""",^CREATE TABLE genome,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('T'), Literal('A'), Literal('B'), Literal('L'), Literal('E'), Literal(' '), Literal('g'), Literal('e'), Literal('n'), Literal('o'), Literal('m'), Literal('e')])",False,False
grep,"grep -nP ""^CREATE INDEX genome""",^CREATE INDEX genome,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('I'), Literal('N'), Literal('D'), Literal('E'), Literal('X'), Literal(' '), Literal('g'), Literal('e'), Literal('n'), Literal('o'), Literal('m'), Literal('e')])",False,False
grep,"grep -P ""^INSERT"" ${sdir}/db/${i}.sqlite.genome.sql",^INSERT,"Concatenate([StartAnchor(), Literal('I'), Literal('N'), Literal('S'), Literal('E'), Literal('R'), Literal('T')])",False,False
grep,"grep -nP ""^CREATE TABLE transcr""",^CREATE TABLE transcr,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('T'), Literal('A'), Literal('B'), Literal('L'), Literal('E'), Literal(' '), Literal('t'), Literal('r'), Literal('a'), Literal('n'), Literal('s'), Literal('c'), Literal('r')])",False,False
grep,"grep -nP ""^CREATE INDEX transcr""",^CREATE INDEX transcr,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('I'), Literal('N'), Literal('D'), Literal('E'), Literal('X'), Literal(' '), Literal('t'), Literal('r'), Literal('a'), Literal('n'), Literal('s'), Literal('c'), Literal('r')])",False,False
grep,"grep -P ""^INSERT"" ""${sdir}""/db/""${i}"".sqlite.transcr.sql",^INSERT,"Concatenate([StartAnchor(), Literal('I'), Literal('N'), Literal('S'), Literal('E'), Literal('R'), Literal('T')])",False,False
grep,"grep -nP ""^CREATE TABLE genome""",^CREATE TABLE genome,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('T'), Literal('A'), Literal('B'), Literal('L'), Literal('E'), Literal(' '), Literal('g'), Literal('e'), Literal('n'), Literal('o'), Literal('m'), Literal('e')])",False,False
grep,"grep -nP ""^CREATE INDEX genome""",^CREATE INDEX genome,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('I'), Literal('N'), Literal('D'), Literal('E'), Literal('X'), Literal(' '), Literal('g'), Literal('e'), Literal('n'), Literal('o'), Literal('m'), Literal('e')])",False,False
grep,"grep -P ""^INSERT"" ""${sdir}""/db/""${i}"".sqlite.genome.sql",^INSERT,"Concatenate([StartAnchor(), Literal('I'), Literal('N'), Literal('S'), Literal('E'), Literal('R'), Literal('T')])",False,False
grep,"grep -nP ""^CREATE TABLE transcr""",^CREATE TABLE transcr,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('T'), Literal('A'), Literal('B'), Literal('L'), Literal('E'), Literal(' '), Literal('t'), Literal('r'), Literal('a'), Literal('n'), Literal('s'), Literal('c'), Literal('r')])",False,False
grep,"grep -nP ""^CREATE INDEX transcr""",^CREATE INDEX transcr,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('I'), Literal('N'), Literal('D'), Literal('E'), Literal('X'), Literal(' '), Literal('t'), Literal('r'), Literal('a'), Literal('n'), Literal('s'), Literal('c'), Literal('r')])",False,False
grep,"grep -P ""^INSERT"" ""${sdir}""/db/""${i}"".sqlite.transcr.sql",^INSERT,"Concatenate([StartAnchor(), Literal('I'), Literal('N'), Literal('S'), Literal('E'), Literal('R'), Literal('T')])",False,False
grep,"grep -nP ""^CREATE TABLE genome""",^CREATE TABLE genome,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('T'), Literal('A'), Literal('B'), Literal('L'), Literal('E'), Literal(' '), Literal('g'), Literal('e'), Literal('n'), Literal('o'), Literal('m'), Literal('e')])",False,False
grep,"grep -nP ""^CREATE INDEX genome""",^CREATE INDEX genome,"Concatenate([StartAnchor(), Literal('C'), Literal('R'), Literal('E'), Literal('A'), Literal('T'), Literal('E'), Literal(' '), Literal('I'), Literal('N'), Literal('D'), Literal('E'), Literal('X'), Literal(' '), Literal('g'), Literal('e'), Literal('n'), Literal('o'), Literal('m'), Literal('e')])",False,False
grep,"grep -P ""^INSERT"" ""${sdir}""/db/""${i}"".sqlite.genome.sql",^INSERT,"Concatenate([StartAnchor(), Literal('I'), Literal('N'), Literal('S'), Literal('E'), Literal('R'), Literal('T')])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep -v ""^#"" ensembl_genes.gtf.tmp2",^#,"Concatenate([StartAnchor(), Literal('#')])",False,False
grep,"grep -v ""^#"" ensembl_genes.gtf.tmp2",^#,"Concatenate([StartAnchor(), Literal('#')])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""^-.*\\|^+.*""",^-.*\\|^+.*,"Concatenate([StartAnchor(), Literal('-'), Repeat(Dot(), 0, None), Literal('\\'), Literal('|'), StartAnchor(), Literal('+'), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""[KQRBN]""",[KQRBN],"CharacterClass(negate=False, items=[Literal('K'), Literal('Q'), Literal('R'), Literal('B'), Literal('N')])",False,False
grep,"grep ""print""",,,False,False
grep,"grep ""[A-Z]""",[A-Z],"CharacterClass(negate=False, items=[Range('A'-'Z')])",False,False
grep,"grep ""[A-Z]""",[A-Z],"CharacterClass(negate=False, items=[Range('A'-'Z')])",False,False
grep,"grep ""[A-Z]""",[A-Z],"CharacterClass(negate=False, items=[Range('A'-'Z')])",False,False
grep,"grep ""[A-Z]""",[A-Z],"CharacterClass(negate=False, items=[Range('A'-'Z')])",False,False
grep,"grep ""[A-Z]""",[A-Z],"CharacterClass(negate=False, items=[Range('A'-'Z')])",False,False
grep,"grep ""[A-Z]""",[A-Z],"CharacterClass(negate=False, items=[Range('A'-'Z')])",False,False
grep,"grep -v ""[KQRBN]""",[KQRBN],"CharacterClass(negate=False, items=[Literal('K'), Literal('Q'), Literal('R'), Literal('B'), Literal('N')])",False,False
grep,"grep -m 1 "".""",.*[[:alnum:]].*,"Concatenate([Repeat(Dot(), 0, None), CharacterClass(negate=False, items=[PosixClass('alnum')]), Repeat(Dot(), 0, None)])",False,False
grep,"grep ""[aeiouyAEIOUY]""",[aeiouyAEIOUY],"CharacterClass(negate=False, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u'), Literal('y'), Literal('A'), Literal('E'), Literal('I'), Literal('O'), Literal('U'), Literal('Y')])",False,False
grep,"grep -i ""[aeiouy]""",[aeiouy],"CharacterClass(negate=False, items=[Literal('a'), Literal('e'), Literal('i'), Literal('o'), Literal('u'), Literal('y')])",False,False
grep,"grep ""^-""",^-,"Concatenate([StartAnchor(), Literal('-')])",False,False
grep,grep $(hostname),$(hostname),"Concatenate([Literal('('), Repeat(Dot(), 0, None), Literal(')')])",False,False
grep,"grep ""$(hostname)"" /etc/hosts",$(hostname),"Concatenate([Literal('('), Repeat(Dot(), 0, None), Literal(')')])",False,False
grep,"grep -E ""^[a-z]{3,6}$""","^[a-z]{3,6}$","Concatenate([StartAnchor(), Repeat(CharacterClass(negate=False, items=[Range('a'-'z')]), 3, 6), EndAnchor()])",False,False
grep,grep ^[\>\<],^[\>\<],"Concatenate([StartAnchor(), CharacterClass(negate=False, items=[Literal('>'), Literal('<')])])",False,False
grep,"grep ""^>""",^>,"Concatenate([StartAnchor(), Literal('>')])",False,False
grep,grep -v ^@,^@,"Concatenate([StartAnchor(), Literal('@')])",False,False
grep,"grep -v ""^@""",^@,"Concatenate([StartAnchor(), Literal('@')])",False,False
grep,"grep -v ""^[[:space:]]*$"" /workspace/dir1/a.txt",^[[:space:]]*$,"Concatenate([StartAnchor(), Repeat(CharacterClass(negate=False, items=[PosixClass('space')]), 0, None), EndAnchor()])",False,False
grep,"grep -o ""#[0-9]\+""",#[0-9]\+,"Concatenate([Literal('#'), Repeat(CharacterClass(negate=False, items=[Range('0'-'9')]), 1, None)])",False,False
grep,grep -n .,.,Dot(),False,False
grep,"grep -E ""^[0-9.]+$""",^[0-9.]+$,"Concatenate([StartAnchor(), Repeat(CharacterClass(negate=False, items=[Range('0'-'9'), Literal('.')]), 1, None), EndAnchor()])",False,False
grep,"grep -m 1 ""^[0-9]""",^[0-9],"Concatenate([StartAnchor(), CharacterClass(negate=False, items=[Range('0'-'9')])])",False,False
grep,"grep ""^[^=]*H[^=]*=""",^[^=]*H[^=]*=,"Concatenate([StartAnchor(), Repeat(CharacterClass(negate=True, items=[Literal('=')]), 0, None), Literal('H'), Repeat(CharacterClass(negate=True, items=[Literal('=')]), 0, None), Literal('=')])",False,False
grep,grep -v nvm.sh,nvm.sh,"Concatenate([Literal('n'), Literal('v'), Literal('m'), Dot(), Literal('s'), Literal('h')])",False,False
grep,"grep -n ""^ *server *""",^ *server *,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('s'), Literal('e'), Literal('r'), Literal('v'), Literal('e'), Literal('r'), Repeat(Literal(' '), 0, None)])",False,False
grep,"grep -n ""^ *server *"" >/dev/null",^ *server *,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('s'), Literal('e'), Literal('r'), Literal('v'), Literal('e'), Literal('r'), Repeat(Literal(' '), 0, None)])",False,False
grep,"grep ""^ *include +.*;"" >/dev/null",^ *include +.*;,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('i'), Literal('n'), Literal('c'), Literal('l'), Literal('u'), Literal('d'), Literal('e'), Literal(' '), Literal('+'), Repeat(Dot(), 0, None), Literal(';')])",False,False
grep,"grep ""^ *include +.*;""",^ *include +.*;,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('i'), Literal('n'), Literal('c'), Literal('l'), Literal('u'), Literal('d'), Literal('e'), Literal(' '), Literal('+'), Repeat(Dot(), 0, None), Literal(';')])",False,False
grep,"grep -i ""^Location.*$""",^Location.*$,"Concatenate([StartAnchor(), Literal('L'), Literal('o'), Literal('c'), Literal('a'), Literal('t'), Literal('i'), Literal('o'), Literal('n'), Repeat(Dot(), 0, None), EndAnchor()])",False,False
grep,"grep -i ""^Retry-After *:""",^Retry-After *:,"Concatenate([StartAnchor(), Literal('R'), Literal('e'), Literal('t'), Literal('r'), Literal('y'), Literal('-'), Literal('A'), Literal('f'), Literal('t'), Literal('e'), Literal('r'), Repeat(Literal(' '), 0, None), Literal(':')])",False,False
grep,"grep ""^ *include *.*;"" >/dev/null",^ *include *.*;,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('i'), Literal('n'), Literal('c'), Literal('l'), Literal('u'), Literal('d'), Literal('e'), Repeat(Literal(' '), 0, None), Repeat(Dot(), 0, None), Literal(';')])",False,False
grep,"grep ""^ *include *.*;""",^ *include *.*;,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('i'), Literal('n'), Literal('c'), Literal('l'), Literal('u'), Literal('d'), Literal('e'), Repeat(Literal(' '), 0, None), Repeat(Dot(), 0, None), Literal(';')])",False,False
grep,"_egrep_o ""\""authorizations\"" *: *\[[^\[]*\]""","\""authorizations\"" *: *\[[^\[]*\]","Concatenate([Literal('""'), Literal('a'), Literal('u'), Literal('t'), Literal('h'), Literal('o'), Literal('r'), Literal('i'), Literal('z'), Literal('a'), Literal('t'), Literal('i'), Literal('o'), Literal('n'), Literal('s'), Literal('""'), Repeat(Literal(' '), 0, None), Literal(':'), Repeat(Literal(' '), 0, None), Literal('['), Repeat(CharacterClass(negate=True, items=[Literal('[')]), 0, None), Literal(']')])",False,False
grep,"grep ""^Location:""",^Location:,"Concatenate([StartAnchor(), Literal('L'), Literal('o'), Literal('c'), Literal('a'), Literal('t'), Literal('i'), Literal('o'), Literal('n'), Literal(':')])",False,False
grep,"grep ""${LOCAL_ANY_ADDRESS}:${_checkport}""",${LOCAL_ANY_ADDRESS}:${_checkport},"Concatenate([Literal('('), Repeat(Dot(), 0, None), Literal(')'), Literal(':'), Literal('('), Repeat(Dot(), 0, None), Literal(')')])",False,False
grep,"grep -i ""^Retry-After *: *[0-9]\+ *""",^Retry-After *: *[0-9]\+ *,"Concatenate([StartAnchor(), Literal('R'), Literal('e'), Literal('t'), Literal('r'), Literal('y'), Literal('-'), Literal('A'), Literal('f'), Literal('t'), Literal('e'), Literal('r'), Repeat(Literal(' '), 0, None), Literal(':'), Repeat(Literal(' '), 0, None), Repeat(CharacterClass(negate=False, items=[Range('0'-'9')]), 1, None), Repeat(Literal(' '), 0, None)])",False,False
grep,"_egrep_o ""^ *Public.Key:.*""",^ *Public.Key:.*,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('P'), Literal('u'), Literal('b'), Literal('l'), Literal('i'), Literal('c'), Dot(), Literal('K'), Literal('e'), Literal('y'), Literal(':'), Repeat(Dot(), 0, None)])",False,False
grep,"grep -q ""^. main\s*$""",^. main\s*$,"Concatenate([StartAnchor(), Dot(), Literal(' '), Literal('m'), Literal('a'), Literal('i'), Literal('n'), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep ""${IPv4bare}/""",${IPv4bare}/,"Concatenate([Literal('('), Repeat(Dot(), 0, None), Literal(')'), Literal('/')])",False,False
grep,"grep -qv ""^-P.*ACCEPT$""",^-P.*ACCEPT$,"Concatenate([StartAnchor(), Literal('-'), Literal('P'), Repeat(Dot(), 0, None), Literal('A'), Literal('C'), Literal('C'), Literal('E'), Literal('P'), Literal('T'), EndAnchor()])",False,False
grep,"grep ""^set-cookie:"" ""${HTTP_HEADER}""",^set-cookie:,"Concatenate([StartAnchor(), Literal('s'), Literal('e'), Literal('t'), Literal('-'), Literal('c'), Literal('o'), Literal('o'), Literal('k'), Literal('i'), Literal('e'), Literal(':')])",False,False
grep,"_egrep_o ""sessionid=[^;]*;""",sessionid=[^;]*;,"Concatenate([Literal('s'), Literal('e'), Literal('s'), Literal('s'), Literal('i'), Literal('o'), Literal('n'), Literal('i'), Literal('d'), Literal('='), Repeat(CharacterClass(negate=True, items=[Literal(';')]), 0, None), Literal(';')])",False,False
grep,"grep -E ""^\?\?"" 2>/dev/null",^\?\?,"Concatenate([StartAnchor(), Literal('?'), Literal('?')])",False,False
grep,"grep ""^## [^ ]\+ .*ahead""",^## [^ ]\+ .*ahead,"Concatenate([StartAnchor(), Literal('#'), Literal('#'), Literal(' '), Repeat(CharacterClass(negate=True, items=[Literal(' ')]), 1, None), Literal(' '), Repeat(Dot(), 0, None), Literal('a'), Literal('h'), Literal('e'), Literal('a'), Literal('d')])",False,False
grep,"grep ""^## [^ ]\+ .*behind""",^## [^ ]\+ .*behind,"Concatenate([StartAnchor(), Literal('#'), Literal('#'), Literal(' '), Repeat(CharacterClass(negate=True, items=[Literal(' ')]), 1, None), Literal(' '), Repeat(Dot(), 0, None), Literal('b'), Literal('e'), Literal('h'), Literal('i'), Literal('n'), Literal('d')])",False,False
grep,"grep ""^## [^ ]\+ .*diverged""",^## [^ ]\+ .*diverged,"Concatenate([StartAnchor(), Literal('#'), Literal('#'), Literal(' '), Repeat(CharacterClass(negate=True, items=[Literal(' ')]), 1, None), Literal(' '), Repeat(Dot(), 0, None), Literal('d'), Literal('i'), Literal('v'), Literal('e'), Literal('r'), Literal('g'), Literal('e'), Literal('d')])",False,False
grep,"grep ""^ D """,^ D ,"Concatenate([StartAnchor(), Literal(' '), Literal('D'), Literal(' ')])",False,False
grep,"grep -E ""^\?\? """,^\?\? ,"Concatenate([StartAnchor(), Literal('?'), Literal('?'), Literal(' ')])",False,False
grep,"grep -v ""^ *\.""",^ *\.,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('.')])",False,False
grep,"grep -v ""^ *\.""",^ *\.,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('.')])",False,False
grep,"grep -e ""^v""",^v,"Concatenate([StartAnchor(), Literal('v')])",False,False
grep,"grep -v ""^ *\.""",^ *\.,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), Literal('.')])",False,False
grep,"grep -e ""^v""",^v,"Concatenate([StartAnchor(), Literal('v')])",False,False
