Benchmark,Collection,Tag,Buggy?,Correct Result?,Time(s),RunTime Error,Category,Notes,Pipeline
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_156_gold1.sh_Pecho-http-ww_f50c102f66c147024f85c1b1ba6817fa_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.01s,,input to cmd that expects none,input to cmd that expects none,"cut -d""/"" -f3 | echo ""http://www.google.com"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_156_gold2.sh_Pecho-http-ww_02c4a63ceddd2addf37a03f1fb293390_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.01s,,input to cmd that expects none,input to cmd that expects none,"sed -E ""s|https?://([^/]+).*|\\1|"" | echo ""http://www.google.com"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M13.sh,full_benchmark/curated_mutants/detectable,,True,True,0.03s,,"nice and self-contained, cut expects delimiter, mutant won't have it","nice and self-contained, cut expects delimiter, mutant won't have it",yes | head -n10 | grep . | cut -d: -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M16.sh,full_benchmark/curated_mutants/detectable,,True,True,0.05s,,"nice and self-contained, cut expects delimiter, mutant won't have it","nice and self-contained, cut expects delimiter, mutant won't have it",yes | head -n10 | grep -n . | cut -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M2.sh,full_benchmark/curated_mutants/detectable,,True,True,0.03s,,"nice and self-contained, cut expects delimiter, mutant won't have it","nice and self-contained, cut expects delimiter, mutant won't have it",yes | head -n10 | cut -d: -f1 | grep -n . | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M6.sh,full_benchmark/curated_mutants/detectable,,True,True,0.03s,,"nice and self-contained, dup of an earlier one","nice and self-contained, dup of an earlier one",yes | head -n10 | cut -d: -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_164_gold1.sh_Pecho-Hello-w_c9ec3c3d481dca015a14816cb0e84673_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.01s,,input to cmd that expects none,input to cmd that expects none,"tr -cd "";0-9"" | echo ""  Hello world;876	  """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_164_gold2.sh_Pecho-Hello-w_fa4852946002af878f2a6fede3f9123a_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.03s,,input to cmd that expects none,input to cmd that expects none,"sed ""s/[^0-9;]//g"" | echo ""  Hello world;876     """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_165_gold1.sh_Pecho-Hello-w_96f21bc281f02ee23fd8960bc2182331_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.01s,,input to cmd that expects none,input to cmd that expects none,"sed -e ""s/^[ \\t]*//"" | echo ""  Hello world!	  "" | sed -e ""s/[ \\t]*\$//"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_165_gold2.sh_Pecho-n-Hell_52100d70d8adb9ee20caef7d874a7501_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.02s,,input to cmd that expects none,input to cmd that expects none,"sed ""s/^[ \\t]*//;s/[ \\t]*\$//"" | echo -n ""  Hello world!    """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_166_gold1.sh_Pecho-987654321-_7ca77aa3fa6fb0dc449962855c84c07c_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.03s,,input to cmd that expects none,input to cmd that expects none,rev | echo 987654321 | cut -c 4- | rev
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_166_gold2.sh_Pecho-987654321_8ef437b93e4de9ebba36e8fc9da9cb0d_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.02s,,input to cmd that expects none,input to cmd that expects none,"sed ""s/...\$//"" | echo ""987654321"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_171_gold1.sh_Pseq-s-100-t_bc9c9ab9158e00ec8367c6be7e8ce27e_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.01s,,input to cmd that expects none,input to cmd that expects none,"tr -d ""[:digit:]"" | seq -s= 100"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_172_gold2.sh_Pwho-wc-l_f3210b0dc480488b7af9b0a999297af5_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.02s,,need better support for command: who,input to cmd that expects none,wc -l | who
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_174_gold1.sh_Pcut-d-f1-et_13abdb6bca8e8d86aac90a579be3b150_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.02s,,input to cmd that expects none,input to cmd that expects none,sort | cut -d: -f1 /etc/group
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_174_gold2.sh_Pcut-d-f1-et_26919bb1f613540dffee98e3fe165838_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.02s,,input to cmd that expects none,input to cmd that expects none,sort | cut -d: -f1 /etc/group | uniq
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_23_gold1.sh_Pfind-DIRECTOR_26e3c519d8b1bf949301f6e1e807d1b0_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.01s,,input to cmd that expects none,input to cmd that expects none,"sed -e ""s@^.*/@@"" | find ${DIRECTORY} -type f -print | grep ""[aeiouyAEIOUY]"" | wc -l"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_3_gold2.sh_Pecho-FILES-_c418ffdfaa8b54352a8aeb418894587a_M15.sh,full_benchmark/curated_mutants/detectable,,True,True,0.08s,,with useless no-op warning,with useless no-op warning,"echo ""${FILES}"" | tr "" "" ""\\n"" | sort | cat | md5sum"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/13.sh_Pcat-1-grep_7ddc1567612fc9aa38bf48bec86c2827_M4.sh,full_benchmark/curated_mutants/maybe,,True,True,0.03s,,"ANN'd dropped grep, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | cut -d ""\"""" -f 2 | cut -c 1-12"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/14.sh_Pcat-1-awk-_293f066e233655ec3fdc9bbd8e71c28b_M4.sh,full_benchmark/curated_mutants/maybe,,True,True,0.07s,,ANN'd with input annotation,,"cat ${1} | sort -nr | cut -d "" "" -f 2"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/16.sh_Pcat-1-cut-_55bce0e0035dce8ef408d3b5b0b6e843_M10.sh,full_benchmark/curated_mutants/maybe,,True,True,0.05s,,violates our assumption about sort -n usage,input to a sort -n does *not* start with numbers!,"cat ${1} | cut -f 2 | sort -n | sort -nr | head -n 1 | tr -s "" "" ""\\n"" | tail -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/16.sh_Pcat-1-cut-_55bce0e0035dce8ef408d3b5b0b6e843_M13.sh,full_benchmark/curated_mutants/maybe,,True,True,0.21s,,violates our assumption about sort -n usage,input to a sort -n does *not* start with numbers!,cat ${1} | cut -f 2 | sort -n | uniq -c | sort -nr | head -n 1 | tail -n 1
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/16.sh_Pcat-1-cut-_55bce0e0035dce8ef408d3b5b0b6e843_M23.sh,full_benchmark/curated_mutants/maybe,,True,True,0.05s,,violates our assumption about sort -n usage,input to a sort -n does *not* start with numbers!,"cat ${1} | cut -f 2 | sort -n | uniq | sort -nr | head -n 1 | tr -s "" "" ""\\n"" | tail -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/16.sh_Pcat-1-cut-_55bce0e0035dce8ef408d3b5b0b6e843_M31.sh,full_benchmark/curated_mutants/maybe,,True,True,0.26s,,violates our assumption about sort -n usage,input to a sort -n does *not* start with numbers!,"cat ${1} | cut -f 2 | sort -n | uniq -c | sort -nr | head -n 1 | tr -s ""\\n"" | tail -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/16.sh_Pcat-1-cut-_55bce0e0035dce8ef408d3b5b0b6e843_M32.sh,full_benchmark/curated_mutants/maybe,,True,True,0.07s,,violates our assumption about sort -n usage,input to a sort -n does *not* start with numbers!,"cat ${1} | cut -f 2 | sort -n | uniq -c | sort -nr | head -n 1 | tr -s "" "" | tail -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/17.sh_Pcat-1-cut-_fe570aed6e8ed3898911821a66f0007d_M10.sh,full_benchmark/curated_mutants/maybe,,True,True,0.50s,,"ANN'd dropped sed, should be detectable with assert annotations",,cat ${1} | cut -f 4 | sort -n | cut -c 3-3 | uniq
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/17.sh_Pcat-1-cut-_fe570aed6e8ed3898911821a66f0007d_M8.sh,full_benchmark/curated_mutants/maybe,,True,True,0.65s,,"ANN'd dropped cut, should be detectable with input annotations and assert annotations",,"cat ${1} | cut -f 4 | sort -n | uniq | sed s/\$/""0s""/"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/18.sh_Pcat-1-tr-_727246379ae4b59e5e6536bf17727fe0_M15.sh,full_benchmark/curated_mutants/maybe,,True,True,0.30s,,"ANN'd dropped flags in wc, should be detectable with assert annotations",,"cat ${1} | tr "" "" ""\\n"" | grep 1969 | wc"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/2.sh_Pcat-1-cut-_6c673a461ed201453a954dd4ad363952_M3.sh,full_benchmark/curated_mutants/maybe,,True,True,0.13s,,"ANN'd dropped cut, should be detectable with assert annotations",,cat ${1} | sort
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/20.sh_Pcat-1-grep_0c28f6b9a0c141679a62ec7f46eb2368_M1.sh,full_benchmark/curated_mutants/maybe,,True,True,0.03s,,"ANN'd dropped cut, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | cut -d ""("" -f 2 | grep ""("" | cut -d "")"" -f 1 | head -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/20.sh_Pcat-1-grep_0c28f6b9a0c141679a62ec7f46eb2368_M5.sh,full_benchmark/curated_mutants/maybe,,True,True,0.03s,,"ANN'd dropped grep, should be detectable with input annotations",,"cat ${1} | cut -d ""("" -f 2 | cut -d "")"" -f 1 | head -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/20.sh_Pcat-1-grep_0c28f6b9a0c141679a62ec7f46eb2368_M6.sh,full_benchmark/curated_mutants/maybe,,True,True,0.21s,,"ANN'd dropped cut, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | grep ""("" | cut -d "")"" -f 1 | head -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/20.sh_Pcat-1-grep_0c28f6b9a0c141679a62ec7f46eb2368_M7.sh,full_benchmark/curated_mutants/maybe,,True,True,0.18s,,"ANN'd dropped cut, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | grep ""("" | cut -d ""("" -f 2 | head -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/23.sh_Pcat-1-tr-_bce81de52b8e9f18c36035999af2fdf8_M10.sh,full_benchmark/curated_mutants/maybe,,True,True,12.13s,,"ANN'd dropped grep, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | tr ""[a-z]"" ""\\n"" | tr -d ""\\n"" | cut -c 1-4"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/23.sh_Pcat-1-tr-_bce81de52b8e9f18c36035999af2fdf8_M11.sh,full_benchmark/curated_mutants/maybe,,True,True,10.78s,,"ANN'd drop tr, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | tr ""[a-z]"" ""\\n"" | grep ""[A-Z]"" | cut -c 1-4"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/23.sh_Pcat-1-tr-_bce81de52b8e9f18c36035999af2fdf8_M12.sh,full_benchmark/curated_mutants/maybe,,True,True,6.95s,,"ANN'd drop cut, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | tr ""[a-z]"" ""\\n"" | grep ""[A-Z]"" | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/23.sh_Pcat-1-tr-_bce81de52b8e9f18c36035999af2fdf8_M3.sh,full_benchmark/curated_mutants/maybe,,True,True,5.25s,,"ANN'd swap tr and grep, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | grep ""[A-Z]"" | tr ""[a-z]"" ""\\n"" | tr -d ""\\n"" | cut -c 1-4"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/23.sh_Pcat-1-tr-_bce81de52b8e9f18c36035999af2fdf8_M5.sh,full_benchmark/curated_mutants/maybe,,True,True,11.50s,,"ANN'd dropped cut, should be detectable with assert annotations",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | tr ""[a-z]"" ""\\n"" | grep ""[A-Z]"" | cut -c 1-4 | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/23.sh_Pcat-1-tr-_bce81de52b8e9f18c36035999af2fdf8_M7.sh,full_benchmark/curated_mutants/maybe,,True,True,1.18s,,"ANN'd dropped tr, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | grep ""[A-Z]"" | tr ""[a-z]"" ""\\n"" | grep ""[A-Z]"" | tr -d ""\\n"" | cut -c 1-4"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/23.sh_Pcat-1-tr-_bce81de52b8e9f18c36035999af2fdf8_M9.sh,full_benchmark/curated_mutants/maybe,,True,True,14.24s,,"ANN'd dropped tr, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | grep ""[A-Z]"" | tr -d ""\\n"" | cut -c 1-4"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/24.sh_Pcat-1-cut-_56d7e61d429fdefa75084dd552b1b6d2_M3.sh,full_benchmark/curated_mutants/maybe,,True,True,2.14s,,"ANN'd dropped cut, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/24.sh_Pcat-1-cut-_56d7e61d429fdefa75084dd552b1b6d2_M4.sh,full_benchmark/curated_mutants/maybe,,True,True,0.15s,,"ANN'd dropped tr, should be detectable with assert annotations",,cat ${1} | cut -c 1-1
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/25.sh_Pcat-1-cut-_8a9b7c8e1035a4273cdcffd32ddbbd01_M3.sh,full_benchmark/curated_mutants/maybe,,True,True,1.32s,,"ANN'd dropped cut, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/25.sh_Pcat-1-cut-_8a9b7c8e1035a4273cdcffd32ddbbd01_M4.sh,full_benchmark/curated_mutants/maybe,,True,True,0.09s,,"ANN'd dropped tr, should be detectable with assert annotations",,cat ${1} | cut -c 1-2
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/26.sh_Pcat-1-tr-_85d245e0ddfc6e2b9ed5149bae9dd65a_M7.sh,full_benchmark/curated_mutants/maybe,,True,True,17.60s,,"ANN'd dropped grep, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr "" "" ""\\n"" | sed 4d | cut -d ""\"""" -f 2 | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/28.sh_Pcat-1-tr-_64b8eb7f4376a0cb6f71b21a4ba7b5d3_M1.sh,full_benchmark/curated_mutants/maybe,,True,True,3.63s,,"ANN'd swap tr and grep, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | grep ""[A-Z]"" | tr "" "" ""\\n"" | sed 1d | sed 3d | sed 3d | tr ""[a-z]"" ""\\n"" | grep ""[A-Z]"" | sed 3d | tr -c ""[A-Z]"" ""\\n"" | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/28.sh_Pcat-1-tr-_64b8eb7f4376a0cb6f71b21a4ba7b5d3_M20.sh,full_benchmark/curated_mutants/maybe,can be improved with FST,True,False,,Timeout after 30s,"ANN'd dropped tr, should be detectable with assert annotations",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | sed 1d | sed 3d | sed 3d | tr ""[a-z]"" ""\\n"" | grep ""[A-Z]"" | sed 3d | tr -c ""[A-Z]"" ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/28.sh_Pcat-1-tr-_64b8eb7f4376a0cb6f71b21a4ba7b5d3_M42.sh,full_benchmark/curated_mutants/maybe,can be improved with FST,True,False,,Timeout after 30s,"ANN'd dropped -c in tr, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr "" "" ""\\n"" | grep ""[A-Z]"" | sed 1d | sed 3d | sed 3d | tr ""[a-z]"" ""\\n"" | grep ""[A-Z]"" | sed 3d | tr ""[A-Z]"" ""\\n"" | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/29.sh_Pcat-1-sed-_09cef0ae6aeeb5416c119485342b0c0d_M16.sh,full_benchmark/curated_mutants/maybe,,True,True,19.08s,,"ANN'd dropped -c in tr, should be detectable with assert annotations",,"cat ${1} | sed 2d | sed 2d | tr ""[A-Z]"" ""\\n"" | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/29.sh_Pcat-1-sed-_09cef0ae6aeeb5416c119485342b0c0d_M3.sh,full_benchmark/curated_mutants/maybe,,True,True,13.38s,,"ANN'd swap tr, should be detectable with assert annotations",,"cat ${1} | sed 2d | sed 2d | tr -d ""\\n"" | tr -c ""[A-Z]"" ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/29.sh_Pcat-1-sed-_09cef0ae6aeeb5416c119485342b0c0d_M7.sh,full_benchmark/curated_mutants/maybe,,True,True,15.09s,,"ANN'd dropped tr, should be detectable with assert annotations",,"cat ${1} | sed 2d | sed 2d | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/29.sh_Pcat-1-sed-_09cef0ae6aeeb5416c119485342b0c0d_M8.sh,full_benchmark/curated_mutants/maybe,,True,True,4.64s,,"ANN'd dropped tr, should be detectable with assert annotations",,"cat ${1} | sed 2d | sed 2d | tr -c ""[A-Z]"" ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/3.sh_Pcat-1-head_1db0c9c78e23ef3620757055f6bb4ae1_M4.sh,full_benchmark/curated_mutants/maybe,,True,True,0.21s,,"ANN'd dropped tr, should be detectable with assert annotations",,cat ${1} | head -n 2
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/30.sh_Pcat-1-tr-_947a5730e531b8197467769724b0d343_M10.sh,full_benchmark/curated_mutants/maybe,,True,True,1.42s,,"ANN'd dropped grep, should be detectable with assert annotations; need transducer: tr/sed/cut",,"cat ${1} | tr -c ""[a-z][A-Z]"" ""\\n"" | sed 1d | sed 2d | sed 3d | sed 4d | tr -c ""[A-Z]"" ""\\n"" | tr -d ""\\n"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/maybe/30.sh_Pcat-1-tr-_947a5730e531b8197467769724b0d343_M15.sh,full_benchmark/curated_mutants/maybe,,True,True,1.76s,,"ANN'd dropped tr, should be detectable with assert annotations",,"cat ${1} | tr -c ""[a-z][A-Z]"" ""\\n"" | grep ""[A-Z]"" | sed 1d | sed 2d | sed 3d | sed 4d | tr -d ""\\n"""
